theta,log_moneyness,total_variance,implied_vol
0.01240506329113924,-0.6565656565656566,0.015367633114459602,0.17531476329425086
0.01240506329113924,-0.6363636363636364,0.015273226793276784,0.17477543759508532
0.01240506329113924,-0.6161616161616161,0.015178986375067335,0.1742353946537117
0.01240506329113924,-0.5959595959595959,0.015084915183319508,0.17369464691417238
0.01240506329113924,-0.5757575757575757,0.014991016619354237,0.17315320741675125
0.01240506329113924,-0.5555555555555556,0.014897294164174398,0.17261108981855366
0.01240506329113924,-0.5353535353535352,0.014803751380345688,0.17206830841468562
0.01240506329113924,-0.5151515151515151,0.014710391913908324,0.17152487816004022
0.01240506329113924,-0.4949494949494949,0.014617219496318709,0.1709808146916999
0.01240506329113924,-0.4747474747474747,0.014524237946419992,0.17043613435196184
0.01240506329113924,-0.4545454545454545,0.0144314511724403,0.16989085421199282
0.01240506329113924,-0.43434343434343425,0.014338863174017218,0.1693449920961185
0.01240506329113924,-0.41414141414141414,0.014246478044246965,0.16879856660675152
0.01240506329113924,-0.3939393939393939,0.01415429997175639,0.16825159714996105
0.01240506329113924,-0.3737373737373737,0.014062333242795764,0.16770410396168464
0.01240506329113924,-0.3535353535353535,0.01397058224335012,0.1671561081345825
0.01240506329113924,-0.33333333333333326,0.013879051461266476,0.16660763164553102
0.01240506329113924,-0.31313131313131304,0.013787745488394253,0.16605869738375195
0.01240506329113924,-0.2929292929292928,0.013696669022735633,0.16550932917957
0.01240506329113924,-0.2727272727272727,0.013605826870602404,0.16495955183378988
0.01240506329113924,-0.2525252525252525,0.013515223948775596,0.16440939114768108
0.01240506329113924,-0.23232323232323226,0.013424865286663588,0.16385887395355547
0.01240506329113924,-0.21212121212121204,0.013334756028454244,0.16330802814591966
0.01240506329113924,-0.19191919191919182,0.013244901435256067,0.16275688271318092
0.01240506329113924,-0.1717171717171716,0.01315530688722296,0.16220546776988104
0.01240506329113924,-0.1515151515151515,0.01306597788565675,0.16165381458942904
0.01240506329113924,-0.13131313131313127,0.012976920055081137,0.16110195563729907
0.01240506329113924,-0.11111111111111105,0.01288813914528016,0.16054992460465473
0.01240506329113924,-0.09090909090909083,0.012799641033293875,0.15999775644235686
0.01240506329113924,-0.07070707070707061,0.012711431725363183,0.159445487395305
0.01240506329113924,-0.050505050505050386,0.012623517358815386,0.1588931550370587
0.01240506329113924,-0.030303030303030276,0.012535904203881204,0.158340798304677
0.01240506329113924,-0.010101010101010055,0.01244859866543355,0.15778845753370904
0.01240506329113924,0.010101010101010166,0.012361607284637562,0.1572361744932607
0.01240506329113924,0.030303030303030498,0.012274936740500807,0.15668399242105624
0.01240506329113924,0.05050505050505061,0.012188593851311776,0.1561319560584045
0.01240506329113924,0.07070707070707072,0.01210258557595415,0.1555801116849718
0.01240506329113924,0.09090909090909105,0.01201691901508353,0.15502850715325572
0.01240506329113924,0.11111111111111116,0.01193160141215261,0.15447719192264345
0.01240506329113924,0.1313131313131315,0.011846640154269937,0.1539262170929302
0.01240506329113924,0.1515151515151516,0.01176204277287676,0.15337563543716295
0.01240506329113924,0.1717171717171717,0.011677816944225565,0.15282550143366497
0.01240506329113924,0.19191919191919204,0.011593970489643257,0.1522758712970854
0.01240506329113924,0.21212121212121215,0.011510511375561076,0.15172680300830882
0.01240506329113924,0.2323232323232325,0.011427447713292689,0.15117835634304727
0.01240506329113924,0.2525252525252526,0.011344787758541164,0.15063059289892716
0.01240506329113924,0.27272727272727293,0.01126253991061483,0.15008357612087228
0.01240506329113924,0.29292929292929304,0.011180712711331418,0.1495373713245717
0.01240506329113924,0.31313131313131315,0.011099314843589276,0.1489920457178119
0.01240506329113924,0.3333333333333335,0.011018355129583967,0.14844766841943977
0.01240506329113924,0.3535353535353536,0.01093784252864806,0.14790431047571306
0.01240506329113924,0.3737373737373739,0.010857786134691624,0.1473620448737844
0.01240506329113924,0.39393939393939403,0.010778195173220663,0.14682094655205477
0.01240506329113924,0.41414141414141437,0.01069907899791056,0.14628109240712253
0.01240506329113924,0.4343434343434345,0.010620447086711697,0.14574256129704663
0.01240506329113924,0.4545454545454546,0.010542309037464411,0.14520543404063369
0.01240506329113924,0.4747474747474749,0.010464674563000915,0.144669793412453
0.01240506329113924,0.49494949494949503,0.010387553485712216,0.14413572413327805
0.01240506329113924,0.5151515151515154,0.010310955731558723,0.14360331285564915
0.01240506329113924,0.5353535353535355,0.01023489132350429,0.14307264814425077
0.01240506329113924,0.5555555555555556,0.010159370374354377,0.14254382045079594
0.01240506329113924,0.5757575757575759,0.010084403078980599,0.14201692208311373
0.01240506329113924,0.595959595959596,0.010009999705915436,0.141492047168139
0.01240506329113924,0.6161616161616164,0.00993617058830289,0.14096929160851232
0.01240506329113924,0.6363636363636365,0.00986292611419307,0.14044875303250698
0.01240506329113924,0.6565656565656568,0.009790276716171234,0.13993053073701417
0.01240506329113924,0.6767676767676769,0.009718232860314611,0.139414725623333
0.01240506329113924,0.696969696969697,0.009646805034473486,0.1389014401255328
0.01240506329113924,0.7171717171717173,0.009576003735876585,0.13839077813117884
0.01240506329113924,0.7373737373737375,0.009505839458064408,0.13788284489423916
